mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
18.17746411901876,19.461780882079548,15.58880658833518,48.0,-6.0,54.0,0.020550263794506085,4.674325774658965,0.43423155813533615,2.7516455060074385,Panic
18.087455662748877,19.310210170763607,17.043929377164527,49.0,-6.0,55.0,0.01372710019250786,4.98811124803523,0.05583429065354668,-0.20116552404533575,Panic
18.097627019277912,19.279929562617717,17.596357245029164,49.0,-7.0,56.0,0.02052904751717737,5.621968490886101,0.21902822033350297,-0.27917232531028835,Panic
17.94055469709071,19.26442182994235,15.211549028767147,48.0,-7.0,55.0,0.11045866008691944,5.416645674154168,0.21351099028650244,-0.20159375695976506,Panic
18.136968335833703,19.4677819846123,18.34531564898534,51.0,-4.0,55.0,0.016024736447332176,5.524650373550721,0.711365041641681,2.510490290415626,Panic
17.860892788278427,19.233716968638916,20.83708954150207,51.0,-7.0,58.0,-0.12897990324872716,6.125411938829885,0.7300662394095492,1.710424773629022,Panic
17.732456573653938,19.12136883162111,16.63738786916769,49.0,-9.0,58.0,-0.01477122825004769,5.967954694557202,0.6583560197060295,2.3880641185568092,Panic
18.120757479831834,19.265598147770543,15.352417773120232,51.0,-9.0,60.0,0.021539605961683733,5.618102968807466,0.5104236068292691,1.653279893064575,Panic
18.4611099143303,19.522068715231534,18.264183545929658,51.0,-6.0,57.0,0.03773670794071195,6.115726043721096,0.7223900124127852,3.5003042900714467,Panic
18.33140013425763,19.500636180292382,17.313288350958324,51.0,-6.0,57.0,-0.08373352998140349,5.9942173067366475,0.9846410223419291,5.516882711488235,Panic
18.051108201156758,19.089511097720347,15.621518660813578,48.0,-5.0,53.0,-0.004799078198237263,5.56693648915459,0.3619897324303986,0.3996209586312393,Panic
18.179243786894155,19.193727587532265,16.013642092865876,48.0,-7.0,55.0,-0.06749788861392092,5.417270513004405,0.21697821227580624,0.26349580533742545,Panic
18.070014724212303,19.200665487613403,15.556091361075612,48.0,-8.0,56.0,-0.017529838506617424,5.331727782280606,0.24203486209314162,0.37694597511277766,Panic
18.233198472047665,19.377125595029906,24.6473008209609,55.0,-17.0,72.0,-0.021659870412075965,7.006482138385414,1.116469115544191,9.865124952485749,Panic
17.950772061575943,18.964113586440046,24.762813342102582,55.0,-17.0,72.0,-0.14121569711020024,7.34732668020385,1.3591254093321936,11.694264368039597,Panic
17.796571510675868,18.975314597577785,16.367962456344696,50.0,-6.0,56.0,0.10375296032720177,6.140222337487465,0.23671287336014532,-0.634028419285668,Panic
18.456134803567966,19.907239100242528,15.608403283911596,50.0,-6.0,56.0,-0.04234962559133414,5.434646067297959,0.1128359811106363,-0.2777760525079579,Panic
18.443297056910875,19.32868377761514,17.7875411085399,48.0,-3.0,51.0,-0.06345091853044134,5.782619685300381,0.5148304265689793,1.1158752918880948,Panic
18.257385387924693,18.88147676911046,19.574129941964006,48.0,-5.0,53.0,-0.08938024272301462,6.552908785820108,0.43742611592153585,0.4024085000788746,Panic
18.498849663555863,19.535930191921413,18.446824824795424,48.0,-6.0,54.0,0.08335536510210102,6.145038628655266,0.24039806917212722,0.9605542018733385,Panic
