mean,variance,std_dev,min,max,range,difference,state
44.8,1.1999999999999995,1.095445115010332,43.0,46.0,3.0,0.0,Panic
31.2,1.7,1.3038404810405295,30.0,33.0,3.0,1.0,Panic
43.4,9.3,3.049590136395381,39.0,47.0,8.0,5.0,Panic
42.8,3.7,1.9235384061671343,41.0,46.0,5.0,1.0,Panic
44.0,2.5,1.5811388300841898,42.0,46.0,4.0,-2.0,Panic
46.0,1.5,1.224744871391589,44.0,47.0,3.0,-3.0,Panic
30.6,1.2999999999999998,1.1401754250991378,29.0,32.0,3.0,3.0,Panic
42.4,4.8,2.1908902300206643,39.0,45.0,6.0,2.0,Panic
40.2,2.7,1.6431676725154982,38.0,42.0,4.0,0.0,Panic
33.0,0.5,0.7071067811865476,32.0,34.0,2.0,0.0,Panic
30.0,2.5,1.5811388300841898,28.0,32.0,4.0,-2.0,Panic
43.6,1.7999999999999998,1.3416407864998738,42.0,45.0,3.0,2.0,Panic
43.6,0.7999999999999999,0.8944271909999159,43.0,45.0,2.0,-1.0,Panic
39.2,1.2,1.095445115010332,38.0,41.0,3.0,0.0,Panic
35.0,3.5,1.8708286933869709,32.0,37.0,5.0,2.0,Panic
32.0,2.0,1.4142135623730951,30.0,34.0,4.0,2.0,Panic
36.8,9.7,3.114482300479488,34.0,41.0,7.0,2.0,Panic
32.0,0.5,0.7071067811865476,31.0,33.0,2.0,0.0,Panic
42.6,0.7999999999999999,0.8944271909999159,42.0,44.0,2.0,1.0,Panic
44.8,4.699999999999999,2.16794833886788,42.0,47.0,5.0,1.0,Panic
30.4,1.3,1.140175425099138,29.0,32.0,3.0,1.0,Panic
37.4,1.8000000000000005,1.3416407864998738,35.0,38.0,3.0,0.0,Panic
38.2,4.7,2.16794833886788,35.0,41.0,6.0,4.0,Panic
44.6,4.8,2.1908902300206643,42.0,48.0,6.0,-6.0,Panic
31.0,4.0,2.0,28.0,33.0,5.0,-1.0,Panic
42.2,1.2,1.095445115010332,41.0,43.0,2.0,-2.0,Panic
44.4,1.3000000000000005,1.140175425099138,43.0,46.0,3.0,1.0,Panic
44.2,6.699999999999999,2.588435821108957,41.0,47.0,6.0,-4.0,Panic
32.2,1.2,1.095445115010332,31.0,34.0,3.0,2.0,Panic
30.8,2.7,1.6431676725154982,28.0,32.0,4.0,-1.0,Panic
45.6,5.300000000000001,2.302172886644268,42.0,48.0,6.0,-3.0,Panic
44.6,1.8,1.3416407864998738,43.0,46.0,3.0,-2.0,Panic
44.4,3.8,1.949358868961793,43.0,47.0,4.0,-4.0,Panic
35.6,2.3,1.51657508881031,34.0,37.0,3.0,-3.0,Panic
45.4,0.3,0.5477225575051661,45.0,46.0,1.0,-1.0,Panic
45.0,0.5,0.7071067811865476,44.0,46.0,2.0,0.0,Panic
43.8,0.7,0.8366600265340756,43.0,45.0,2.0,-1.0,Panic
44.4,5.300000000000001,2.302172886644268,42.0,48.0,6.0,-5.0,Panic
36.8,3.2,1.7888543819998317,35.0,39.0,4.0,-3.0,Panic
42.8,3.7,1.9235384061671343,41.0,46.0,5.0,-1.0,Panic
39.0,4.0,2.0,37.0,41.0,4.0,-4.0,Panic
41.2,3.7,1.9235384061671343,38.0,43.0,5.0,1.0,Panic
31.2,1.7000000000000004,1.30384048104053,29.0,32.0,3.0,0.0,Panic
45.4,4.3,2.073644135332772,42.0,47.0,5.0,-5.0,Panic
44.0,3.5,1.8708286933869709,42.0,46.0,4.0,0.0,Panic
46.8,1.6999999999999995,1.3038404810405295,45.0,48.0,3.0,3.0,Panic
30.8,2.7,1.6431676725154982,29.0,32.0,3.0,-3.0,Panic
47.2,5.700000000000001,2.387467277262665,43.0,49.0,6.0,5.0,Panic
45.2,0.7,0.8366600265340756,44.0,46.0,2.0,2.0,Panic
43.4,4.300000000000001,2.0736441353327724,41.0,46.0,5.0,1.0,Panic
37.8,1.2,1.095445115010332,37.0,39.0,2.0,0.0,Panic
46.2,1.2,1.095445115010332,45.0,47.0,2.0,0.0,Panic
